timestep,episode,mean_reward
286200,4333,84.4125
286800,4341,91.2067
287400,4347,115.3578
288000,4354,116.9917
288600,4362,94.3929
289200,4370,97.3222
289800,4375,128.4030
290000,EVAL,123.5242
290400,4382,111.4778
291000,4388,101.7700
291600,4395,89.0221
292200,4402,108.3929
292800,4409,103.5082
293400,4419,70.9741
294000,4427,84.0581
294600,4434,92.9992
295200,4441,107.6375
295800,4449,101.5074
296400,4457,79.1897
297000,4465,96.1332
297600,4472,92.2893
298200,4479,89.4920
298800,4488,88.2451
299400,4494,93.6027
300000,4501,92.2351
300000,EVAL,112.1129
300600,4510,69.1702
301200,4519,61.1382
301800,4527,77.1151
302400,4533,108.2224
303000,4541,90.7857
303600,4548,92.3458
304200,4556,96.2343
304800,4564,89.2632
305400,4573,80.4434
306000,4582,73.9607
306600,4589,86.9824
307200,4596,95.8370
307800,4602,101.1743
308400,4610,74.1784
309000,4618,84.7660
309600,4625,107.3059
310000,EVAL,68.3600
310200,4634,74.0159
310800,4644,45.5340
311400,4654,70.7974
312000,4661,107.6279
312600,4669,71.5417
313200,4676,101.6176
313800,4683,64.3627
314400,4689,61.6845
315000,4695,72.7451
315600,4702,87.2255
316200,4710,92.4506
316800,4718,101.9650
317400,4725,93.3420
318000,4731,95.6012
318600,4738,101.6558
319200,4745,78.5199
319800,4752,72.8963
320000,EVAL,113.2907
320400,4760,67.0830
321000,4766,102.5974
321600,4773,79.7491
322200,4782,67.4292
322800,4790,79.5787
323400,4796,94.5907
324000,4803,92.5636
324600,4810,87.7138
325200,4818,81.9886
325800,4825,89.9475
326400,4833,65.2003
327000,4841,95.8524
327600,4848,86.6600
328200,4856,57.5148
328800,4864,83.7039
329400,4872,69.7790
330000,4879,116.1088
330000,EVAL,110.9604
330600,4887,62.9237
331200,4894,57.9258
331800,4902,100.5967
332400,4910,86.7352
333000,4918,76.6128
333600,4927,56.1326
334200,4934,87.1548
334800,4942,65.5147
335400,4950,66.4594
336000,4958,87.4344
336600,4966,93.2651
337200,4975,78.2342
337800,4982,100.4074
338400,4990,63.7490
339000,4999,54.6303
339600,5005,111.4516
340000,EVAL,111.4694
340200,5015,60.0794
340800,5022,87.7764
341400,5029,92.3036
342000,5038,73.2756
342600,5046,68.4503
343200,5053,117.3613
343800,5061,54.8478
344400,5070,76.6909
345000,5079,86.1966
345600,5088,62.0694
346200,5095,79.2903
346800,5104,84.3612
347400,5110,96.7926
348000,5119,76.0751
348600,5126,92.1651
349200,5134,94.4768
349800,5144,76.9740
350000,EVAL,111.6661
350400,5153,68.2675
351000,5161,78.9331
351600,5170,63.9979
352200,5178,94.2885
352800,5185,99.5273
353400,5191,66.9350
354000,5199,107.8821
354600,5209,72.3300
355200,5216,80.1188
355800,5226,76.3023
356400,5234,81.4555
357000,5242,94.8477
357600,5252,64.9246
358200,5259,93.8069
358800,5266,108.6916
359400,5274,71.4694
360000,5283,54.4795
360000,EVAL,111.0382
360600,5290,68.7458
361200,5298,68.7183
361800,5305,70.5701
362400,5315,61.0385
363000,5323,99.2752
363600,5331,58.9949
364200,5339,87.5654
364800,5347,89.6500
365400,5354,73.8518
366000,5363,69.5540
366600,5371,84.3819
367200,5379,96.5573
367800,5387,83.3711
368400,5393,87.4279
369000,5399,94.2218
369600,5406,91.4764
370000,EVAL,111.2784
370200,5414,84.7446
370800,5424,50.0703
371400,5431,86.4709
372000,5437,126.5483
372600,5446,72.2412
373200,5454,87.1835
373800,5461,99.7206
374400,5467,73.5727
375000,5476,57.0783
375600,5482,98.0710
376200,5490,77.0097
376800,5497,78.7257
377400,5504,72.0067
378000,5511,85.1865
378600,5519,90.0792
379200,5527,67.4889
379800,5533,101.1416
380000,EVAL,165.1038
380400,5540,74.1735
381000,5546,98.5046
381600,5553,79.8999
382200,5560,94.6898
382800,5568,81.4737
383400,5574,75.5699
384000,5582,62.5121
384600,5588,99.6544
385200,5594,83.5414
385800,5601,101.2992
386400,5607,110.1086
387000,5614,87.3720
387600,5621,92.1395
388200,5629,75.4471
388800,5637,57.6178
389400,5644,100.8229
390000,5651,83.0633
390000,EVAL,68.3470
390600,5659,66.6999
391200,5669,65.6072
391800,5676,95.8481
392400,5683,75.0252
393000,5691,85.6896
393600,5698,93.9983
394200,5706,84.0320
394800,5713,89.3542
395400,5720,61.9171
396000,5728,71.0131
396600,5735,98.1767
397200,5741,123.4491
397800,5748,77.9153
398400,5757,59.6182
399000,5765,80.8768
399600,5772,107.7646
400000,EVAL,69.4126
400200,5780,56.6749
400800,5788,69.1397
401400,5796,83.1685
402000,5804,81.3704
402600,5812,88.3158
403200,5820,88.7545
403800,5827,102.2241
404400,5835,82.3305
405000,5842,87.9300
405600,5850,63.1664
406200,5858,69.6181
406800,5866,94.8475
407400,5873,95.3324
408000,5882,73.4073
408600,5890,80.9045
409200,5897,92.2927
409800,5905,84.3484
410000,EVAL,68.6475
410400,5913,87.4000
411000,5919,107.9797
411600,5927,74.9374
412200,5934,77.5393
412800,5941,88.1181
413400,5949,84.8583
414000,5956,90.0068
414600,5963,58.2017
415200,5969,93.5262
415800,5976,103.4422
416400,5983,62.2023
417000,5990,96.7715
417600,5997,85.3794
418200,6004,84.9652
418800,6010,74.0981
419400,6018,100.3939
420000,6026,75.0747
420000,EVAL,69.0347
420600,6035,75.9754
421200,6043,70.3984
421800,6051,83.7941
422400,6057,120.7912
423000,6064,69.7274
423600,6072,79.0598
424200,6079,95.5319
424800,6089,44.8137
425400,6097,82.6846
426000,6105,71.3267
426600,6112,92.0023
427200,6119,100.3629
427800,6125,100.3757
428400,6134,69.3633
429000,6142,81.5415
429600,6149,85.5443
430000,EVAL,111.1878
430200,6158,83.4084
430800,6165,87.7030
431400,6172,89.1319
432000,6180,70.2952
432600,6187,94.6412
433200,6195,76.7621
433800,6202,94.3663
434400,6211,56.4889
435000,6218,87.3187
435600,6226,82.3119
436200,6235,65.3368
436800,6242,77.1077
437400,6250,57.2962
438000,6258,74.2568
438600,6267,49.1916
439200,6275,88.0130
439800,6282,71.9849
440000,EVAL,108.9706
440400,6291,68.8611
441000,6300,66.9093
441600,6307,78.6686
442200,6313,83.1616
442800,6320,90.0361
443400,6327,114.3527
444000,6333,119.5081
444600,6340,90.4016
445200,6347,41.0208
445800,6353,52.8455
446400,6359,88.4542
447000,6367,80.0759
447600,6374,107.1279
448200,6380,81.1207
448800,6387,92.2889
449400,6394,89.1899
450000,6401,109.0223
450000,EVAL,68.7598
450600,6409,84.8324
451200,6416,89.2963
451800,6426,63.6959
452400,6433,96.6554
453000,6440,83.2666
453600,6446,93.5598
454200,6454,79.5525
454800,6461,91.5595
455400,6469,94.6784
456000,6478,64.3493
456600,6487,61.0693
457200,6496,63.7934
457800,6502,105.1214
458400,6509,114.1231
459000,6515,81.4924
459600,6522,91.7072
460000,EVAL,113.4377
460200,6529,90.4602
460800,6536,99.3939
461400,6544,77.2008
462000,6552,58.1179
462600,6559,87.7109
463200,6567,58.3321
463800,6575,81.9108
464400,6583,71.5719
